region,Moderaterna,Centerpartiet,Folkpartiet,Kristdemokraterna,Miljopartiet,Socialdemokraterna,Vansterpartiet,Sverigedemokraterna,Ovriga
"Lomma";"14.2";"49.8";"4.9";"10.7";"5.5";"5.9";"1.4";"5.6";"2.1"
"Svedala";"24.2";"39.5";"4.6";"7.3";"4.0";"13.3";"2.2";"3.2";"1.7"
"Skurup";"26.3";"35.2";"4.2";"6.3";"7.3";"13.5";"2.7";"2.8";"1.6"
"Sjöbo";"23.5";"35.0";"4.1";"4.9";"8.6";"15.8";"2.9";"3.9";"1.3"
"Hörby";"22.6";"33.2";"4.5";"6.0";"9.8";"14.0";"2.6";"4.2";"3.0"
"Höör";"22.8";"34.6";"7.4";"7.2";"6.2";"11.5";"3.7";"4.6";"1.8"
"Tomelilla";"28.3";"31.1";"4.9";"4.5";"9.8";"13.4";"3.0";"2.9";"2.1"
"Bromölla";"41.1";"22.4";"3.9";"5.5";"3.5";"15.4";"4.6";"2.8";"0.7"
"Osby";"34.4";"24.5";"5.3";"4.7";"9.1";"12.8";"3.0";"5.5";"0.6"
"Perstorp";"35.7";"28.2";"4.3";"5.1";"5.6";"11.1";"4.7";"4.0";"1.5"
"Klippan";"31.9";"30.9";"3.7";"5.1";"5.7";"12.3";"4.0";"5.2";"1.2"
"Åstorp";"38.5";"29.0";"3.9";"4.7";"4.4";"11.9";"2.7";"3.8";"1.1"
"Båstad";"15.3";"44.1";"5.5";"7.4";"12.1";"5.6";"1.9";"7.2";"0.9"
"Malmö";"28.7";"32.6";"8.8";"7.0";"2.8";"7.8";"6.0";"3.1";"3.2"
"Lund";"19.5";"32.1";"12.8";"11.1";"6.6";"5.0";"5.8";"5.0";"2.2"
"Landskrona";"35.8";"28.2";"4.3";"11.7";"2.5";"9.9";"4.1";"2.5";"1.0"
"Helsingborg";"27.7";"36.2";"6.5";"7.9";"3.3";"9.0";"3.4";"4.4";"1.5"
"Höganäs";"20.2";"42.4";"5.9";"9.1";"5.4";"6.4";"2.6";"6.7";"1.5"
"Eslöv";"32.2";"29.6";"4.8";"7.0";"6.9";"11.8";"3.2";"2.8";"1.6"
"Ystad";"28.4";"37.9";"5.5";"6.5";"5.7";"8.4";"2.6";"3.5";"1.5"
"Trelleborg";"30.6";"34.1";"3.9";"5.8";"4.0";"13.8";"2.5";"3.7";"1.7"
"Kristianstad";"28.6";"31.6";"5.5";"9.0";"5.4";"11.8";"3.3";"3.8";"1.0"
"Simrishamn";"26.5";"36.2";"6.8";"6.1";"7.4";"7.6";"3.4";"4.6";"1.3"
"Ängelholm";"22.6";"40.7";"6.0";"6.5";"6.5";"7.6";"2.7";"5.8";"1.5"
"Hässleholm";"28.3";"29.0";"6.0";"5.9";"8.0";"12.9";"3.2";"5.8";"0.9"
"Hylte";"34.5";"25.5";"3.8";"6.6";"12.7";"6.9";"3.2";"5.1";"1.6"
"Halmstad";"32.4";"31.6";"6.4";"7.6";"6.1";"5.3";"4.0";"5.1";"1.7"
"Laholm";"25.3";"33.4";"4.6";"5.7";"12.9";"8.7";"3.1";"4.7";"1.5"
"Falkenberg";"30.0";"28.9";"6.0";"6.8";"12.6";"5.8";"3.7";"4.8";"1.4"
"Varberg";"29.0";"31.8";"6.2";"7.4";"9.9";"4.8";"4.2";"5.3";"1.4"
"Kungsbacka";"15.9";"45.5";"5.7";"9.7";"7.4";"4.6";"2.6";"7.3";"1.3"
"Härryda";"21.9";"36.3";"7.6";"10.5";"6.0";"5.6";"4.6";"6.4";"1.2"
"Partille";"24.8";"33.9";"7.6";"10.0";"4.0";"5.8";"5.1";"7.1";"1.7"
"Öckerö";"18.9";"36.2";"5.9";"8.2";"2.8";"4.5";"3.1";"19.3";"1.1"
"Stenungsund";"25.8";"36.1";"7.1";"8.6";"5.9";"4.9";"4.2";"6.2";"1.3"
"Tjörn";"20.4";"36.1";"5.9";"9.9";"5.6";"5.0";"3.0";"13.2";"0.9"
"Orust";"25.6";"33.9";"6.4";"8.3";"8.8";"4.7";"4.7";"6.3";"1.2"
"Sotenäs";"27.2";"39.1";"4.3";"8.2";"4.6";"4.2";"3.7";"8.0";"0.7"
"Munkedal";"32.8";"26.0";"3.9";"5.3";"11.8";"7.2";"5.1";"7.0";"0.9"
"Tanum";"22.0";"32.6";"6.3";"9.2";"15.4";"4.4";"3.4";"5.8";"1.0"
"Dals-Ed";"28.4";"27.2";"3.7";"4.6";"15.8";"6.1";"3.9";"9.2";"1.0"
"Färgelanda";"34.1";"24.5";"3.0";"4.9";"14.9";"8.6";"4.1";"5.2";"0.8"
"Ale";"33.0";"28.2";"6.0";"6.5";"5.0";"8.1";"6.1";"5.8";"1.4"
"Lerum";"22.3";"35.1";"8.8";"10.0";"5.1";"5.4";"5.1";"7.0";"1.2"
"Vårgårda";"26.6";"23.2";"6.2";"8.2";"11.9";"5.9";"4.1";"13.2";"0.8"
"Bollebygd";"26.6";"33.1";"6.1";"6.5";"7.2";"8.2";"4.7";"6.5";"1.0"
"Grästorp";"30.5";"31.6";"3.6";"5.2";"14.1";"6.3";"3.5";"4.2";"1.0"
"Essunga";"29.3";"31.4";"4.2";"5.0";"12.6";"6.2";"3.9";"6.4";"1.0"
"Karlsborg";"33.6";"26.9";"4.3";"7.7";"11.0";"5.8";"3.4";"6.5";"0.7"
"Gullspång";"43.9";"22.7";"3.7";"4.9";"7.5";"6.2";"5.1";"5.3";"0.7"
"Tranemo";"32.0";"26.7";"4.9";"5.9";"14.1";"6.9";"3.1";"5.5";"0.9"
"Bengtsfors";"38.5";"23.1";"4.9";"5.2";"10.9";"5.6";"5.1";"5.8";"0.8"
"Mellerud";"29.7";"26.5";"4.5";"6.1";"13.3";"7.7";"5.0";"6.4";"0.7"
"Lilla Edet";"37.9";"22.3";"4.7";"6.0";"6.5";"10.1";"7.3";"3.8";"1.4"
"Mark";"34.0";"24.5";"5.7";"7.5";"9.3";"5.8";"5.6";"6.7";"0.9"
